Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
